batch,run,dataset,num_clusters,epochs,final_ARI,final_NMI,Q_argmax_ARI,Q_argmax_NMI,Q_prob_kmeans_ARI,Q_prob_kmeans_NMI,concat_views_kmeans_ARI,concat_views_kmeans_NMI,weighted_views_kmeans_ARI,weighted_views_kmeans_NMI,mean_views_kmeans_ARI,mean_views_kmeans_NMI,global_kmeans_ARI,global_kmeans_NMI,concat_z_ARI,concat_z_NMI,mean_z_ARI,mean_z_NMI,z_rna_spatial_ARI,z_rna_spatial_NMI,z_rna_feature_ARI,z_rna_feature_NMI,z_atac_spatial_ARI,z_atac_spatial_NMI,z_atac_feature_ARI,z_atac_feature_NMI,z_adt_spatial_ARI,z_adt_spatial_NMI,z_adt_feature_ARI,z_adt_feature_NMI,concat_z_minus_Q_ARI,concat_z_minus_Q_NMI
ablation,abl_e185_core,E18.5,14,50,0.4961,0.4717,0.4961,0.4717,0.2928,0.3676,0.3697,0.5089,0.3396,0.4962,0.3406,0.4968,0.3903,0.4557,0.3959,0.5115,0.3621,0.4717,0.2699,0.4545,0.2349,0.4322,0.3001,0.3912,0.2749,0.4419,,,,,-0.1002,0.0399
ablation,abl_e185_no_cluster,E18.5,14,50,0.0194,0.0218,0.0194,0.0218,0.3001,0.4465,0.3734,0.5085,0.3563,0.5052,0.3557,0.5051,0.3129,0.4398,0.4446,0.5381,0.4071,0.5137,0.2555,0.4494,0.235,0.4264,0.4549,0.4723,0.2561,0.4544,,,,,0.4252,0.5163
ablation,abl_e185_no_sample,E18.5,14,50,0.1344,0.2602,0.1344,0.2602,0.1517,0.2683,0.1891,0.2787,0.1647,0.2701,0.1611,0.2667,0.1921,0.2901,0.2018,0.2889,0.1856,0.2805,0.139,0.2384,0.1308,0.2321,0.1557,0.2413,0.1389,0.2586,,,,,0.0674,0.0287
ablation,abl_e185_sc,E18.5,14,50,0.4915,0.4694,0.4915,0.4694,0.2986,0.3681,0.3783,0.5102,0.3556,0.5044,0.3459,0.5042,0.3871,0.4591,0.3943,0.506,0.365,0.471,0.2786,0.4691,0.2384,0.4047,0.3205,0.3985,0.2591,0.4436,,,,,-0.0972,0.0365
ablation,abl_e185_sc_snf,E18.5,14,50,0.4994,0.4738,0.4994,0.4738,0.2809,0.3734,0.3363,0.4986,0.347,0.5032,0.3455,0.5025,0.3849,0.4542,0.3769,0.4967,0.3499,0.471,0.2745,0.4561,0.2375,0.4047,0.3145,0.3936,0.2579,0.4423,,,,,-0.1226,0.023
ablation,abl_e185_snf,E18.5,14,50,0.4931,0.4721,0.4931,0.4721,0.2853,0.3688,0.3287,0.4993,0.3467,0.5029,0.3466,0.5028,0.3965,0.4523,0.3669,0.4969,0.362,0.469,0.2774,0.4663,0.2332,0.3988,0.3065,0.4025,0.277,0.4488,,,,,-0.1261,0.0248
ablation,abl_hlna1_core,HLN-A1,10,50,0.2892,0.3536,0.2892,0.3536,0.2336,0.3373,0.2326,0.3183,0.2499,0.3297,0.2531,0.3322,0.2131,0.304,0.2403,0.3355,0.2638,0.3462,0.264,0.3499,0.2325,0.3065,,,,,0.192,0.2881,0.1632,0.2511,-0.0489,-0.0181
ablation,abl_hlna1_no_cluster,HLN-A1,10,50,0.0492,0.0969,0.0492,0.0969,0.2021,0.2862,0.233,0.3184,0.2497,0.3293,0.251,0.3305,0.2085,0.2991,0.2414,0.3365,0.265,0.348,0.2639,0.3507,0.2346,0.3061,,,,,0.1933,0.2885,0.1624,0.2504,0.1922,0.2395
ablation,abl_hlna1_no_sample,HLN-A1,10,50,0.0518,0.0622,0.0518,0.0622,0.0455,0.0766,0.0553,0.0961,0.0447,0.0816,0.0445,0.0815,0.0468,0.0796,0.0633,0.1216,0.064,0.1099,0.0182,0.0433,0.0174,0.046,,,,,0.0848,0.1278,0.0441,0.0884,0.0115,0.0594
ablation,abl_hlna1_sc,HLN-A1,10,50,0.2881,0.3529,0.2881,0.3529,0.2328,0.3363,0.2339,0.3219,0.2555,0.3339,0.2509,0.3304,0.2095,0.3022,0.2417,0.3374,0.2335,0.3305,0.2794,0.365,0.2321,0.3048,,,,,0.1905,0.2869,0.1629,0.2509,-0.0464,-0.0155
ablation,abl_hlna1_sc_snf,HLN-A1,10,50,0.2881,0.3531,0.2881,0.3531,0.2326,0.3363,0.2354,0.3218,0.2549,0.3332,0.2507,0.3302,0.2122,0.3011,0.2414,0.3373,0.2445,0.3343,0.2628,0.3489,0.2307,0.3042,,,,,0.1895,0.2865,0.1632,0.2509,-0.0467,-0.0158
ablation,abl_hlna1_snf,HLN-A1,10,50,0.2895,0.3538,0.2895,0.3538,0.2338,0.3374,0.2333,0.3203,0.2505,0.3307,0.2517,0.3315,0.2136,0.3027,0.2386,0.3346,0.2459,0.3357,0.2632,0.3518,0.2335,0.306,,,,,0.1918,0.288,0.163,0.25,-0.0509,-0.0191
ablation,p0_smoke,Simulation,5,5,0.7006,0.7422,0.0028,0.0105,0.619,0.7224,0.9958,0.9936,0.9896,0.9864,0.9896,0.9864,0.7006,0.7422,,,,,,,,,,,,,,,,,,
ablation,p1_e185,E18.5,14,50,0.1789,0.1642,0.1789,0.1642,0.1648,0.244,0.1739,0.2438,0.1433,0.2365,0.1401,0.2353,0.1954,0.255,,,,,,,,,,,,,,,,,,
ablation,p1_hlna1,HLN-A1,10,50,0.1897,0.195,0.1897,0.195,0.2066,0.2188,0.1824,0.2081,0.1376,0.194,0.1362,0.1935,0.2006,0.2138,,,,,,,,,,,,,,,,,,
final200_b1,e185_core_200,E18.5,14,200,0.3335,0.5184,0.3335,0.5184,0.3469,0.5228,0.296,0.5074,0.2956,0.5079,0.2956,0.5079,0.2177,0.4021,0.3574,0.5586,0.3602,0.5534,0.3262,0.5204,0.2721,0.4855,0.4203,0.5231,0.2624,0.4768,,,,,0.0239,0.0402
final200_b1,e185_scsnf_200,E18.5,14,200,0.3296,0.5152,0.3296,0.5152,0.349,0.5283,0.2894,0.5019,0.2898,0.5016,0.2899,0.5022,0.2149,0.4117,0.3489,0.5513,0.3531,0.5523,0.3338,0.5251,0.2575,0.4812,0.365,0.5079,0.2512,0.4799,,,,,0.0194,0.0361
final200_b1,hlna1_core_200,HLN-A1,10,200,0.1819,0.3023,0.1819,0.3023,0.1913,0.3112,0.1982,0.3151,0.1978,0.3139,0.1985,0.3154,0.1236,0.2148,0.2287,0.36,0.2181,0.3428,0.2259,0.3522,0.1972,0.3059,,,,,0.2278,0.3435,0.1755,0.2772,0.0468,0.0577
