batch,run,dataset,epochs(cfg),lambda_mgcl,lambda_cluster,lambda_spatial,spatial_enabled,consistency_weighting,negative_filter,spatial_start_epoch,n_clusters,fine_dim,cluster_temperature,cluster_head_lr_mult,warm_up_epochs,clustering_method,clustering_embedding
ablation,abl_e185_core,E18.5,50,3,1,0,False,False,False,999,14,128,0.3,8,10,argmax,cluster_probabilities
ablation,abl_e185_no_cluster,E18.5,50,3,0,0,False,False,False,999,14,128,0.3,8,10,argmax,cluster_probabilities
ablation,abl_e185_no_sample,E18.5,50,0,1,0,False,False,False,999,14,128,0.3,8,10,argmax,cluster_probabilities
ablation,abl_e185_sc,E18.5,50,3,1,0,True,True,False,1,14,128,0.3,8,10,argmax,cluster_probabilities
ablation,abl_e185_sc_snf,E18.5,50,3,1,0,True,True,True,1,14,128,0.3,8,10,argmax,cluster_probabilities
ablation,abl_e185_snf,E18.5,50,3,1,0,True,False,True,1,14,128,0.3,8,10,argmax,cluster_probabilities
ablation,abl_hlna1_core,HLN-A1,50,1,0.1,0,False,False,False,999,10,32,1,8,10,argmax,cluster_probabilities
ablation,abl_hlna1_no_cluster,HLN-A1,50,1,0,0,False,False,False,999,10,32,1,8,10,argmax,cluster_probabilities
ablation,abl_hlna1_no_sample,HLN-A1,50,0,0.1,0,False,False,False,999,10,32,1,8,10,argmax,cluster_probabilities
ablation,abl_hlna1_sc,HLN-A1,50,1,0.1,0,True,True,False,1,10,32,1,8,10,argmax,cluster_probabilities
ablation,abl_hlna1_sc_snf,HLN-A1,50,1,0.1,0,True,True,True,1,10,32,1,8,10,argmax,cluster_probabilities
ablation,abl_hlna1_snf,HLN-A1,50,1,0.1,0,True,False,True,1,10,32,1,8,10,argmax,cluster_probabilities
ablation,p0_smoke,Simulation,5,1,1,0.1,,,,,5,16,1,,10,kmeans,
ablation,p1_e185,E18.5,50,1,5,0.1,,,,,14,16,1,8,10,argmax,cluster_probabilities
ablation,p1_hlna1,HLN-A1,50,1,5,0.1,,,,,10,16,1,8,10,argmax,cluster_probabilities
final200_b1,e185_core_200,E18.5,200,3,1,0,False,False,False,999,14,128,0.3,8,10,argmax,cluster_probabilities
final200_b1,e185_scsnf_200,E18.5,200,3,1,0,True,True,True,1,14,128,0.3,8,10,argmax,cluster_probabilities
final200_b1,hlna1_core_200,HLN-A1,200,1,0.1,0,False,False,False,999,10,32,1,8,10,argmax,cluster_probabilities
final200_b1,hlna1_scsnf_200,HLN-A1,200,1,0.1,0,True,True,True,1,10,32,1,8,10,argmax,cluster_probabilities
final200_b2,d1_core_200,HLN-D1,200,2,0.1,0,False,False,False,999,11,64,1,8,10,argmax,cluster_probabilities
final200_b2,s2e15_core_200,S2-E15,200,3,1,0,False,False,False,999,15,128,0.3,8,10,argmax,cluster_probabilities
final200_b2,s2e18_core_200,S2-E18,200,3,1,0,False,False,False,999,16,256,0.3,8,10,argmax,cluster_probabilities
